AEther Searcher	乙太探寻客
Mossbridge Troll	苔桥巨魔
Mossdog	苔狗
Mossfire Egg	苔炎卵
Mossfire Valley	苔炎山谷
Mosstodon	厚苔象
Mosswort Bridge	苔草桥
Mothdust Changeling	蛾粉化形
Mother of Runes	符文之母
Mothrider Samurai	翔蛾武士
Mountain	山脉
Mountain Bandit	山贼
Mountain Goat	高山山羊
Mountain Stronghold	山中堡垒
Mountain Titan	高山泰坦
Mountain Valley	大峡谷
Mountain Yeti	高山雪怪
Mountain(Theros)	山脉(塞洛斯)
Mounted Archers	骑箭兵队
Mourner's Shield	悲叹者之盾
Mournful Zombie	悲恸灵俑
Mourning	哀恸欲绝
Mourning Thrull	悼亡索尔兽
Mournwhelk	悼亡螺精
Mournwillow	悲柳妖
Mouth // Feed	张口//待哺
Mouth of Ronom	若纳山口
Mox Diamond	玛珂钻石
Mox Emerald	翡翠玛珂
Mox Jet	黑玉玛珂
Mox Opal	蛋白玛珂
Mox Pearl	珍珠玛珂
Mox Ruby	红宝石玛珂
Mox Sapphire	蓝宝石玛珂
Mtenda Griffin	幕坦达师鹫
Mtenda Herder	幕坦达牧人
Mtenda Lion	幕坦达狮
Muck Drubb	淤泥浊兽
Muck Rats	垃圾堆鼠群
Mudbrawler Cohort	泥闹助拳人
Mudbrawler Raiders	泥闹突击队
Mudbutton Clanger	泥钮冲锋兵
Mudbutton Torchrunner	泥钮炬跑者
Muddle the Mixture	弄混配方
Mudhole	泥坑
Mudslide	泥流
Mugging	背袭抢劫
Mul Daya Channelers	慕达雅通念师
Mulch	护根
Mulldrifter	漂念精
Multani's Acolyte	穆塔尼的侍僧
Multani's Decree	穆塔尼的裁决
Multani's Harmony	穆塔尼的和谐
Multani's Presence	穆塔尼的风采
Multani, Maro-Sorcerer	马洛术士穆塔尼
Multiform Wonder	多态妙械
Mummy Paramount	木乃伊首领
Munda's Vanguard	蒙达的先锋
Munda, Ambush Leader	伏击领袖蒙达
Mundungu	穆敦古
Mungha Wurm	曼格亚龙
Muraganda Petroglyphs	莫甘达石雕
Murasa Pyromancer	姆拉撒烈焰术士
Murasa Ranger	姆拉撒巡林客
Murder	谋杀
Murder Investigation	调查谋杀
Murder of Crows	乌鸦群
Murderer's Axe	行凶利斧
Murderous Betrayal	夺魂叛行
Murderous Compulsion	谋杀冲动
Murderous Cut	夺魂斩
Murderous Redcap	夺魂红帽客
Murderous Spoils	杀人越货
Murk Dwellers	黑暗栖息者
Murk Strider	暗沼神行体
Murkfiend Liege	黯境王侯
Murmuring Bosk	细语树丛
Murmuring Phantasm	低语幻象
Murmurs from Beyond	他界低语
Muscle Burst	肌力爆发
Muscle Sliver	肌力裂片妖
Muse Vessel	谬思皿
Musician	音乐家
Mutagenic Growth	生体突长
Mutant's Prey	突变体饵食
Mutavault	易形地窖
Mutilate	残肢毁伤
Muzzio's Preparations	穆奇奥的整备
Muzzio, Visionary Architect	创见构念师穆奇奥
Muzzle	口络
Mwonvuli Acid-Moss	木万弗黎酸苔
Mwonvuli Beast Tracker	木万弗黎侦猎手
Mwonvuli Ooze	木万弗黎流浆
Mycoid Shepherd	蕈类牧人
Mycologist	真菌学者
Mycoloth	真菌洛西
Mycosynth Fiend	构生菌邪鬼
Mycosynth Golem	构生菌魔像
Mycosynth Lattice	构生菌格栅
Mycosynth Wellspring	构生菌涌泉
Myojin of Cleansing Fire	净火明神
Myojin of Infinite Rage	嗔怒明神
Myojin of Life's Web	大罗明神
Myojin of Night's Reach	夜幕明神
Myojin of Seeing Winds	清风明神
Myr Adapter	适境秘耳
Myr Battlesphere	秘耳斗球
Myr Enforcer	执法秘耳
Myr Galvanizer	激电秘耳
Myr Incubator	秘耳抚育器
Myr Landshaper	塑地秘耳
Myr Matrix	秘耳母体
Myr Mindservant	心仆秘耳
Myr Moonvessel	月光能秘耳
Myr Propagator	繁衍秘耳
Myr Prototype	原型秘耳
Myr Quadropod	四足秘耳
Myr Reservoir	秘耳贮库
Myr Retriever	回收秘耳
Myr Servitor	随侍秘耳
Myr Sire	秘耳君父
Myr Superion	精壮秘耳
Myr Turbine	秘耳涡轮机
Myr Welder	秘耳焊工
Myriad Landscape	繁茂地境
Myrsmith	秘耳工匠
Mysteries of the Deep	深海谜团
Mystic Barrier	神秘障壁
Mystic Compass	神秘罗盘
Mystic Confluence	秘法交汇
Mystic Crusader	秘教护教军
Mystic Decree	秘教裁决
Mystic Denial	神秘的否定
Mystic Enforcer	秘教执法者
Mystic Familiar	秘教佣兽
Mystic Gate	神秘门户
Mystic Genesis	神秘创生
Mystic Meditation	神秘冥思
Mystic Melting	神秘消融
Mystic Might	神秘之力
Mystic Monastery	神秘寺院
Mystic Penitent	秘教悔过者
Mystic Remora	神秘印鱼
Mystic Restraints	神秘管押
Mystic Retrieval	回收秘术
Mystic Snake	秘术异蛇
Mystic Speculation	秘术冥思
Mystic Veil	神秘面纱
Mystic Visionary	秘教幻视家
Mystic Zealot	秘教狂信者
Mystic of the Hidden Way	隐宗秘教徒
Mystical Teachings	神秘教谕
Mystical Tutor	神秘导师
Mystifying Maze	蒙惑迷宫
Myth Realized	神话成真
Mythic Proportions	庞大无比
Márton Stromgald	马顿史卓古得
Nacatl Hunt-Pride	拿卡地猎群
Nacatl Outlander	拿卡地离乡客
Nacatl Savage	粗蛮拿卡地
Nacatl War-Pride	拿卡地战群
Nacre Talisman	珍珠饰符
Nafs Asp	那斯眼镜蛇
Naga Oracle	那伽先知
Naga Vitalist	活力那伽
Nagao, Bound by Honor	忠将长雄
Nagging Thoughts	叨扰乱神
Nahiri's Machinations	娜希丽的阴谋
Nahiri's Wrath	娜希丽之怒
Nahiri, the Harbinger	先兆娜希丽
Nahiri, the Lithomancer	砾岩术士娜希丽
Nakaya Shade	那卡亚阴魂
Naked Singularity	特异裸现
Nalathni Dragon	纳拉斯尼巨龙
Nameless Inversion	无名倒错
Nameless One	无名尊者
Nameless Race	无名一族
Nantuko Blightcutter	翦萎螳人
Nantuko Calmer	螳人镇宁师
Nantuko Cultivator	耕耘螳人
Nantuko Disciple	螳人信徒
Nantuko Elder	螳人长老
Nantuko Husk	空壳螳人
Nantuko Mentor	螳人明师
Nantuko Monastery	螳人僧院
Nantuko Shade	螳人阴魂
Nantuko Shaman	螳人祭师
Nantuko Shrine	螳人祭祠
Nantuko Tracer	摹迹螳人
Nantuko Vigilante	保安螳人
Narcissism	自恋癖
Narcolepsy	嗜睡症
Narcomoeba	梦生阿米巴
Narnam Cobra	纳南眼镜蛇
Narnam Renegade	纳南乱匠
Narrow Escape	惊险度劫
Narset Transcendent	入圣娜尔施
Narset, Enlightened Master	悟道大师娜尔施
Narstad Scrapper	纳司达废铁怪
Narwhal	独角鲸
Nath of the Gilt-Leaf	金叶的纳斯
Nath's Buffoon	纳斯的小丑
Nath's Elite	纳斯精兵
Natural Affinity	自然血缘
Natural Balance	自然均衡
Natural Connection	自然联系
Natural Emergence	大自然的觉醒
Natural End	自然终结
Natural Obsolescence	自然废退
Natural Order	自然秩序
Natural Selection	大自然的抉择
Natural Spring	天然泉水
Natural State	异态归真
Natural Unity	自然同心
Naturalize	回归自然
Nature's Blessing	自然的祝福
Nature's Chosen	自然的爱民
Nature's Claim	还诸自然
Nature's Cloak	大自然的斗篷
Nature's Kiss	自然之吻
Nature's Lore	大自然的学问
Nature's Panoply	自然华彩
Nature's Resurgence	大自然的复苏
Nature's Revolt	大自然的反乱
Nature's Ruin	自然崩坏
Nature's Spiral	自然回旋
Nature's Way	自然之道
Nature's Will	大自然之愿
Nature's Wrath	自然之怒
Nausea	作呕
Nav Squad Commandos	奈夫突击小组
Navigator's Ruin	领航员失格
Naya Battlemage	纳雅战法术师
Naya Charm	纳雅护符
Naya Hushblade	纳雅宁锋兵
Naya Panorama	纳雅全景
Naya Sojourners	纳雅旅居者
Naya Soulbeast	纳雅魂兽
Near-Death Experience	濒死经验
Nearheath Chaplain	原陲教士
Nearheath Pilgrim	原陲朝圣客
Nearheath Stalker	原陲伏击客
Nebelgast Herald	鬼雾传令
Nebuchadnezzar	尼布甲尼撒
Neck Breaker	断颈狼人
Neck Snap	断颈击
Necra Disciple	涅夸信徒
Necra Sanctuary	涅夸圣域
Necratog	死尸阿托格
Necravolver	涅夸进化体
Necrite	尼克里特
Necrobite	死灵啮咬
Necrogen Censer	化尸瘴香炉
Necrogen Mists	化尸瘴气
Necrogen Scudder	化尸瘴奔行兽
Necrogen Spellbomb	化尸瘴咒击弹
Necrogenesis	死灵创生
Necrologia	死冥学
Necromancer's Assistant	死灵术士助手
Necromancer's Covenant	死灵术士盟约
Necromancer's Magemark	死灵术士法印
Necromancer's Stockpile	死灵术士备品室
Necromancy	死灵术
Necromantic Selection	物尽天择
Necromantic Summons	死灵式召唤
Necromantic Thirst	死灵式渴求
Necromaster Dragon	召亡巨龙
Necropede	死冥百足虫
Necroplasm	死灵原浆
Necropolis	古陵寝
Necropolis Fiend	古陵寝邪鬼
Necropolis Regent	古陵寝摄政
Necropotence	死冥权能
Necropouncer	袭杀装
Necrosavant	死灵学者
Necroskitter	掠行死灵
Necrotic Ooze	溃疽流浆
Necrotic Plague	溃疽疫病
Necrotic Sliver	溃疽裂片妖
Nectar Faerie	琼浆仙灵
Need for Speed	极速快感
Needle Drop	落针
Needle Specter	针刺幽灵
Needle Spires	针岩尖峰
Needle Storm	针刺风暴
Needlebite Trap	针刺陷阱
Needlebug	百针虫
Needlepeak Spider	针峰蜘蛛
Needleshot Gourna	飞针古那兽
Nef-Crop Entangler	奈法祀群掷绳手
Nefarious Lich	极恶巫妖
Nefarox, Overlord of Grixis	格利极督军涅法洛
Nefashu	恶法殊
Negate	失效
Neglected Heirloom	遭弃传家宝
Neheb the Worthy	豪英内赫布
Neheb, the Eternal	永生内赫布
Neko-Te	猫手
Nekrataal	尼可拉塔
Nekusar, the Mindrazer	精神破坏者涅库萨
Nema Siltlurker	涅玛泥潜者
Nemata, Grove Guardian	丛林守护神奈玛塔
Nemesis Mask	宿敌面具
Nemesis Trap	报应陷阱
Nemesis of Mortals	生灵宿敌
Nemesis of Reason	理性宿敌
Nephalia Academy	涅非利亚学院
Nephalia Drownyard	涅非利亚沈船地
Nephalia Moondrakes	涅非利亚月龙兽
Nephalia Seakite	涅非利亚海鸢
Nephalia Smuggler	涅非利亚走私犯
Nessian Asp	奈西安双头角奎
Nessian Courser	奈西安骏马
Nessian Demolok	奈西安迪默洛兽
Nessian Game Warden	奈西安猎护兽
Nessian Wilds Ravager	奈西安荒野噬怪
Nest Invader	袭巢恶兽
Nest Robber	劫巢恐龙
Nest of Scarabs	圣甲虫巢穴
Nested Ghoul	巢居食尸鬼
Nesting Wurm	筑巢亚龙
Netcaster Spider	撒网蜘蛛
Nether Horror	阴间惊惧兽
Nether Shadow	阴间影子
Nether Spirit	冥府精灵
Nether Traitor	阴间叛徒
Nether Void	冥府虚空
Netherborn Phalanx	冥生方阵兵团
Netter en-Dal	达奥布网师
Nettle Drone	荨麻奴兽
Nettle Sentinel	荨麻原哨兵
Nettle Swine	荨麻原野猪
Nettletooth Djinn	荨麻齿巨灵
Nettlevine Blight	枯萎荨麻藤
Nettling Curse	恼火诅咒
Nettling Imp	恼人小恶魔
Neurok Commando	纽若克突击兵
Neurok Familiar	纽若克佣兽
Neurok Hoversail	纽若克风帆
Neurok Invisimancer	纽若克隐身术士
Neurok Prodigy	纽若克逸才
Neurok Replica	纽若克摹制品
Neurok Spy	纽若克间谍
Neurok Stealthsuit	纽若克匿踪装
Neurok Transmuter	纽若克易质师
Neutralizing Blast	抑效冲击波
Never // Return	往生//复返
Neverending Torment	不尽折磨
Nevermaker	返虚灵
Nevermore	永封咒
Nevinyrral's Disk	妮维亚洛之碟
New Benalia	新宾纳里亚
New Frontiers	新疆界
New Horizons	新天地
New Perspectives	全新观点
New Prahv Guildmage	新布拉夫公会法师
Nezumi Bone-Reader	骨经鼠人
Nezumi Cutthroat	割喉鼠人
Nezumi Graverobber	盗墓鼠人
Nezumi Ronin	鼠浪人
Nezumi Shadow-Watcher	影卫鼠人
Nezumi Shortfang	短牙鼠人
Niall Silvain	尼尔·瑟菲
Niblis of Dusk	薄暮寒灵
Niblis of Frost	冰霜寒灵
Niblis of the Breath	吐息寒灵
Niblis of the Mist	雾气寒灵
Niblis of the Urn	壶中寒灵
Nicol Bolas	尼可波拉斯
Nicol Bolas, God-Pharaoh	法老神尼可波拉斯
Nicol Bolas, Planeswalker	鹏洛客尼可波拉斯
Nicol Bolas, the Deceiver	欺瞒神龙尼可波拉斯
Night (Night/Day)	黑夜
Night Dealings	暗夜交易
Night Market Aeronaut	晚市空行师
Night Market Guard	晚市守卫
Night Market Lookout	晚市警戒员
Night Revelers	暗夜欢宴人
Night Soil	夜之壤
Night Terrors	夜惧术
Night of Souls' Betrayal	叛魂之夜
Night's Whisper	夜空细语
Nightbird's Clutches	夜鸟紧攫
Nightcreep	邪夜咒
Nighteyes the Desecrator	亵渎者夜目
Nightfall Predator	夜幕掠食者
Nightfire Giant	夜火巨人
Nightguard Patrol	夜巡守卫
Nighthaze	暗夜迷雾
Nighthowler	夜嚎怪
Nightmare	梦魇
Nightmare Incursion	梦魇入侵
Nightmare Lash	梦魇驾鞭
Nightmare Void	梦魇虚空
Nightmarish End	惊魇终局
Nightscape Apprentice	夜景院学徒
Nightscape Battlemage	夜景院战法术师
Nightscape Familiar	夜景院佣兽
Nightscape Master	夜景院大师
Nightshade Assassin	龙葵杀手
Nightshade Peddler	龙葵小贩
Nightshade Schemers	夜影阴谋师
Nightshade Seer	龙葵预言师
Nightshade Stinger	夜影刺棘客
Nightsky Mimic	夜空拟态妖
Nightsnare	深夜圈套
Nightsoil Kami	沃壤神
Nightstalker Engine	夜潜魔引擎
Nightveil Specter	夜篷幽灵
Nightwind Glider	夜风滑翔翼
Nightwing Shade	夜翼阴魂
Nihil Spellbomb	返虚咒击弹
Nihilistic Glee	虚无之喜
Nihilith	凝虚姿
Nikko-Onna	日光女
Nim Abomination	泞族憎恨兽
Nim Deathmantle	泞族亡者头罩
Nim Devourer	泞族噬尸
Nim Grotesque	怪诞泞族
Nim Lasher	泞族鞭手
Nim Replica	泞族摹制品
Nim Shambler	泞族跛行兽
Nim Shrieker	泞族鸣尸
Nimana Sell-Sword	尼麻纳贷剑客
Nimble Innovator	巧手发明家
Nimble Mongoose	伶俐猫鼬
Nimble Obstructionist	巧手干扰师
Nimble-Blade Khenra	胡狼人迅刀客
Nimbus Maze	玄云迷宫
Nimbus Naiad	云雨水灵
Nimbus Swimmer	雨云滑行怪
Nimbus Wings	玄云羽翼
Nimbus of the Isles	群岛玄云
Nin, the Pain Artist	疼痛艺术家宁
Nine-Ringed Bo	九环棒
Ninja of the Deep Hours	深夜忍者
Ninth Bridge Patrol	九桥巡卫
Nip Gwyllion	掐取山妪
Nirkana Assassin	涅卡那杀手
Nirkana Cutthroat	涅卡那割喉者
Nirkana Revenant	涅卡那复仇者
Nissa Revane	妮莎瑞文
Nissa Steward of Elements	地源守护妮莎
Nissa's Chosen	妮莎精卫
Nissa's Defeat	妮莎败退
Nissa's Encouragement	妮莎的鼓励
Nissa's Expedition	妮莎的探险
Nissa's Judgment	妮莎的裁决
Nissa's Pilgrimage	妮莎的朝圣
Nissa's Renewal	妮莎重光
Nissa's Revelation	妮莎的启示
Nissa, Genesis Mage	创生法师妮莎
Nissa, Nature's Artisan	自然巧匠妮莎
Nissa, Sage Animist	物灵智者妮莎
Nissa, Vastwood Seer	广林预言师妮莎
Nissa, Vital Force	生机妮莎
Nissa, Voice of Zendikar	赞迪卡之声妮莎
Nissa, Worldwaker	醒世师妮莎
Niv-Mizzet, Dracogenius	龙智者尼米捷
Niv-Mizzet, the Firemind	炎灵尼米捷
Niveous Wisps	雪白鬼火
Nivix Barrier	尼米斯障壁
Nivix Cyclops	尼米斯独眼巨人
Nivix Guildmage	尼米斯公会法师
Nivix, Aerie of the Firemind	炎灵巢穴尼米斯
Nivmagus Elemental	尼法元素
Nix	顽空
No Mercy	绝不宽贷
No Quarter	杀无赦
No Rest for the Wicked	恶者不息
No-Dachi	野太刀
Nobilis of War	战场尊神
Noble Banneret	贵族掌旗
Noble Benefactor	尊贵的捐助人
Noble Elephant	贵族象
Noble Hierarch	贵族大主教
Noble Panther	贵族豹
Noble Purpose	崇高意志
Noble Quarry	尊贵猎物
Noble Stand	英勇固守
Noble Steeds	高贵的座骑
Noble Templar	尊贵圣殿骑士
Noble Vestige	尊贵遗魂
Nocturnal Raid	暗夜突袭
Noetic Scales	智力测度计
Noggin Whack	砸脑袋
Noggle Bandit	诺格土匪
Noggle Bridgebreaker	断桥诺格
Noggle Hedge-Mage	设障诺格
Noggle Ransacker	搜括诺格
Nomad Decoy	游牧人诱敌手
Nomad Mythmaker	牧民神话诗人
Nomad Outpost	游牧人哨站
Nomad Stadium	游牧人习武会场
Nomadic Elf	游牧地精
Nomads en-Kor	寇族游牧人
Nomads' Assembly	牧民集合号
Noose Constrictor	绞首巨蟒
Noosegraf Mob	绞墓暴民
Norin the Wary	谨慎的诺林
Norn's Annex	艾蕾侬别馆
Norritt	诺里特小恶魔
North Star	北极星
Northern Paladin	北方神圣武士
Norwood Archers	诺梧林箭手
Norwood Priestess	诺梧林女祝祷士
Norwood Ranger	诺梧林护林兵
Norwood Riders	诺梧林骑队
Norwood Warrior	诺梧林战士
Nostalgic Dreams	思乡之梦
Nosy Goblin	包打听精灵
Not Forgotten	殁世不忘
Not of This World	异界之物
Notion Thief	心念盗贼
Notorious Assassin	恶名杀手
Notorious Throng	恶名大群
Nourish	滋养
Nourishing Shoal	滋养群列
Nova Chaser	散华追逐者
Nova Cleric	昙华僧侣
Nova Pentacle	散华五芒星
Novablast Wurm	星爆亚龙
Novijen Sages	诺维研智者
Novijen, Heart of Progress	进展中枢诺维研
Noxious Dragon	毒息巨龙
Noxious Field	恶臭原野
Noxious Gearhulk	恶毒巨械
Noxious Ghoul	腐臭食尸鬼
Noxious Hatchling	恶毒幼雏
Noxious Revival	恶毒复生
Noxious Toad	腐臭蟾蜍
Noxious Vapors	腐臭蒸汽
Noyan Dar, Roil Shaper	狂搅塑形师诺言达
Nucklavee	纳拉威
Nuisance Engine	骚扰引擎
Null Brooch	虚空领针
Null Caller	躯壳召唤师
Null Chamber	虚空回廊
Null Champion	躯壳斗士
Null Profusion	虚空满盈
Null Rod	虚空短杖
Nullify	废除
Nullmage Advocate	虚法师倡导人
Nullmage Shepherd	虚法师牧者
Nullstone Gargoyle	虚空石像鬼
Nulltread Gargantuan	无踪巨兽
Numai Outcast	沼居黜人
Numbing Dose	麻木剂
Numot, the Devastator	崩摧龙王怒玛
Nurturer Initiate	滋养学徒
Nurturing Licid	滋养立吸怪
Nut Collector	坚果采集者
Nykthos, Shrine to Nyx	夜天神殿尼索斯
Nylea's Disciple	倪勒娅的信徒
Nylea's Emissary	倪勒娅的密使
Nylea's Presence	倪勒娅的风采
Nylea, God of the Hunt	猎神倪勒娅
Nyx Infusion	尼兹灌输
Nyx Weaver	尼兹蜘蛛
Nyx-Fleece Ram	星绒绵羊
Nyxathid	夜惧妖
Nyxborn Eidolon	天裔幻灵
Nyxborn Rollicker	天裔狂徒
Nyxborn Shieldmate	天裔护盾手
Nyxborn Triton	天裔屈东
Nyxborn Wolf	天裔狼
O-Naginata	大薙刀
Oak Street Innkeeper	橡树街旅店主
Oaken Brawler	橡树喧哗兵
Oakenform	橡树形体
Oakgnarl Warrior	橡节战士
Oakheart Dryads	橡心树灵
Oashra Cultivator	欧夏拉耕者
Oasis	绿洲
Oasis Ritualist	绿洲仪式师
Oath of Ajani	阿耶尼的誓约
Oath of Chandra	茜卓的誓约
Oath of Druids	德鲁依之誓约
Oath of Ghouls	食尸鬼之誓约
Oath of Gideon	基定的誓约
Oath of Jace	杰斯的誓约
Oath of Lieges	忠贞之誓约
Oath of Liliana	莉莲娜的誓约
Oath of Lim-Dûl	林杜的誓约
Oath of Mages	法师之誓约
Oath of Nissa	妮莎的誓约
Oath of Scholars	学者之誓约
Oath of the Ancient Wood	古林誓约
Oathkeeper, Takeno's Daisho	武野配刀正守
Oathsworn Giant	立誓巨人
Ob Nixilis Reignited	火花重燃的欧尼希兹
Ob Nixilis of the Black Oath	黯约者欧尼希兹
Ob Nixilis, Unshackled	破枷的欧尼希兹
Ob Nixilis, the Fallen	堕落者欧尼希兹
Obelisk Spider	石碑蜘蛛
Obelisk of Alara	阿拉若碑
Obelisk of Bant	班特碑
Obelisk of Esper	艾斯波碑
Obelisk of Grixis	格利极碑
Obelisk of Jund	勇得碑
Obelisk of Naya	纳雅碑
Obelisk of Undoing	取消之碑
Obelisk of Urd	邬德碑
Oblation	奉献
Obliterate	全数抹煞
Oblivion (Consign/Oblivion)	东流 (托诸/东流)
Oblivion Crown	遗忘冠冕
Oblivion Ring	遗忘轮
Oblivion Sower	夺忆恶体
Oblivion Stone	遗忘石
Oblivion Strike	遗忘挥击
Oboro Breezecaller	胧宫微风师
Oboro Envoy	胧宫使节
Oboro, Palace in the Clouds	云殿胧宫
Obscuring Aether	遮掩乙太
Observant Alseid	明眼蔻灵
Obsessive Search	执意寻找
Obsessive Skinner	偏执剥皮客
Obsianus Golem	黑曜石魔像
Obsidian Acolyte	曜黑侍僧
Obsidian Battle-Axe	黑曜战斧
Obsidian Fireheart	焰心黑曜妖
Obsidian Giant	黑曜巨人
Obstinate Baloth	顽强巴洛西
Obstinate Familiar	顽强佣兽
Obzedat's Aid	欧节达的援助
Obzedat, Ghost Council	欧节达鬼影议会
Ocular Halo	眼目光晕
Oculus	眼球妖
Odds (Odds/Ends)	机会 (结束/机会)
Odious Trow	可憎夜巨魔
Odric, Lunarch Marshal	月主会元帅欧吉克
Odric, Master Tactician	战术名家欧吉克
Odunos River Trawler	俄渡诺陵捕捞客
Odylic Wraith	迷魂妖灵
Off Balance	踉跄
Offalsnout	嗅杂灵
Offering to Asha	献祭亚莎
Ogre Arsonist	纵火食人魔
Ogre Battledriver	鼓战食人魔
Ogre Berserker	食人魔狂战士
Ogre Enforcer	食人魔执法者
Ogre Gatecrasher	破门食人魔
Ogre Geargrabber	攫装食人魔
Ogre Jailbreaker	逃狱食人魔
Ogre Leadfoot	铅足食人魔
Ogre Marauder	劫掠食人魔
Ogre Menial	卑贱食人魔
Ogre Recluse	隐遁食人魔
Ogre Resister	反抗食人魔
Ogre Savant	食人魔学者
Ogre Sentry	食人魔哨兵
Ogre Shaman	食人魔祭师
Ogre Slumlord	贫窟霸食人魔
Ogre Taskmaster	食人魔工头
Ogre Warrior	食人魔战士
Ogre's Cleaver	食人魔砍刀
Ohran Viper	欧然毒蛇
Ohran Yeti	欧然雪怪
Ojutai Exemplars	欧祝泰族模范
Ojutai Interceptor	欧祝泰族拦截者
Ojutai Monument	欧祝泰纪念碑
Ojutai's Breath	欧祝泰的吐息
Ojutai's Command	欧祝泰的指命
Ojutai's Summons	欧祝泰的召集
Ojutai, Soul of Winter	冬魂龙王欧祝泰
Oketra the True	真信神欧柯塔
Oketra's Attendant	欧柯塔的侍从
Oketra's Avenger	欧柯塔的复仇者
Oketra's Last Mercy	欧柯塔临终悲悯
Oketra's Monument	欧柯塔纪念碑
Okiba-Gang Shinobi	炽场帮忍者
Okina Nightwatch	翁神社夜巡班
Okina, Temple to the Grandfathers	翁神社
Okk	欧葛
Old Ghastbark	老白皮木
Old Man of the Sea	海中老人
Old-Growth Dryads	古生树灵
Olivia Voldaren	奥莉薇亚沃达连
Olivia's Bloodsworn	奥莉薇亚的血誓者
Olivia's Dragoon	奥莉薇亚的重装兵
Olivia, Mobilized for War	蓄威奥莉薇亚
Oloro, Ageless Ascetic	永生苦修士欧罗若
Omega Myr	后卫秘耳
Omen	征兆
Omen Machine	预兆机械
Omen of Fire	火焰预兆
Omenspeaker	示兆先知
Ominous Sphinx	恶兆史芬斯
Omnath, Locus of Mana	魔力核欧那斯
Omnath, Locus of Rage	怒火核欧那斯
Omnibian	全能蛙
Omniscience	全知全能
Ondu Champion	昂度斗士
Ondu Cleric	昂度僧侣
Ondu Giant	昂度巨人
Ondu Greathorn	昂度巨角兽
Ondu Rising	昂度奔扬
Ondu War Cleric	昂度战僧
One Dozen Eyes	六对眼
One Thousand Lashes	千鞭击
One With the Wind	御风而行
One of the Pack	随群狼人
One with Nature	自然调合
One with Nothing	无何有
One-Eyed Scarecrow	独眼稻草人
Ongoing Investigation	持续探查
Oni Possession	邪鬼夺身
Oni of Wild Places	野地邪鬼
Onslaught	猛袭
Onulet	安瑙纳
Onward // Victory	挺进//胜利
Onyx Goblet	玛瑙酒杯
Onyx Mage	玛瑙法师
Onyx Talisman	玛瑙饰符
Oona's Blackguard	欧娜的黑卫士
Oona's Gatewarden	欧娜的门卫
Oona's Grace	欧娜的恩典
Oona's Prowler	欧娜的游掠者
Oona, Queen of the Fae	仙儿女王欧娜
Ooze Flux	流浆变异
Ooze Garden	流浆花园
Opal Acrolith	蛋白石男雕像
Opal Archangel	蛋白石大天使像
Opal Avenger	蛋白石复仇者
Opal Caryatid	蛋白石女雕像
Opal Champion	蛋白石斗士
Opal Gargoyle	蛋白石石像鬼
Opal Guardian	蛋白石守护者
Opal Lake Gatekeepers	清辉湖门卫
Opal Palace	清辉宫殿
Opal Titan	蛋白石泰坦像
Opal-Eye, Konda's Yojimbo	今田贴身侍卫乳眼
Opalescence	蛋白石光辉
Opaline Bracers	清辉护腕
Opaline Sliver	清辉裂片妖
Opaline Unicorn	清辉独角兽
Open Fire	开火
Open into Wonder	通往奇境
Open the Armory	打开兵械库
Open the Vaults	打开地窖
Ophidian	欧菲迪安蛇
Ophidian Eye	欧菲迪安蛇眼
Ophiomancer	蛇术师
Opportunist	投机份子
Opportunity	机遇
Opposition	唱反调
Oppression	压制
Oppressive Rays	压迫射线
Oppressive Will	意志压迫
Opt	抉择
Opulent Palace	奢华宫殿
Oracle en-Vec	维克族神谕使
Oracle of Bones	头骨先知
Oracle of Dust	尘土先知
Oracle of Mul Daya	慕达雅先知
Oracle of Nectars	琼浆先知
Oracle's Attendants	神谕使随员
Oracle's Insight	先知眼光
Oracle's Vault	先知秘窖
Oran-Rief Hydra	欧兰黎多头龙
Oran-Rief Invoker	欧兰黎召现师
Oran-Rief Recluse	欧兰黎隐士
Oran-Rief Survivalist	欧兰黎求生家
Oran-Rief, the Vastwood	广林欧兰黎
Orator of Ojutai	欧祝泰的传谕僧
Oraxid	欧拉克蟹
Orb of Dreams	眠梦法球
Orbs of Warding	卫护法球
Orbweaver Kumo	缠珠蜘蛛
Orc General	半兽人将军
Orc Sureshot	善射半兽人
Orchard Elemental	果园元素
Orchard Spirit	果园精怪
Orchard Warden	果园护持师
Orcish Artillery	半兽人的大炮
Orcish Bloodpainter	血炼半兽人
Orcish Cannonade	半兽人炮轰
Orcish Cannoneers	半兽人炮手
Orcish Captain	半兽人队长
Orcish Conscripts	半兽人民兵
Orcish Farmer	半兽人农夫
Orcish Healer	半兽人治疗师
Orcish Librarian	半兽人图书管理员
Orcish Lumberjack	半兽人伐木工
Orcish Mechanics	半兽人机械师
Orcish Mine	半兽人矿脉
Orcish Oriflamme	半兽人的军旗
Orcish Settlers	半兽人拓荒者
Orcish Spy	半兽人间谍
Orcish Squatters	半兽人屯垦民
Orcish Veteran	兽人老兵
Ordeal of Erebos	厄睿柏斯的试炼
Ordeal of Heliod	赫利欧德的试炼
Ordeal of Nylea	倪勒娅的试炼
Ordeal of Purphoros	普罗烽斯的试炼
Ordeal of Thassa	塔萨的试炼
Order (Order/Chaos)	秩序（秩序/混乱）
Order of Leitbur	莱伯尔骑士团
Order of Succession	继承顺位
Order of Whiteclay	白土教士團
Order of Yawgmoth	约格莫夫骑士团
Order of the Ebon Hand	黑檀之手骑士团
